name,latitude,longtitude,rating,review count,price range,city
Klunkerkranich,52.4821600866795,13.431854,4.3,122,€€,Berlin
Gallery Rooftop Bar,52.504494,13.442135,5.0,2,,Berlin
Rooftop Terrace Bar & Lounge,52.5157663,13.394096,3.4,5,,Berlin
Monkey Bar,52.5053774,13.3368904,3.3,164,€€€,Berlin
Bebel Bar & Lounge,52.51579,13.394244,4.0,17,€€€€,Berlin
Soho House,52.5276093346336,13.41547273,3.8,88,€€€,Berlin
Deck 5,52.5495606,13.4151297,3.6,109,€€,Berlin
Weekend Club,52.5230803169503,13.4164894571778,3.1,114,€€€,Berlin
The Circus,52.5294031,13.4013102,4.5,35,€€,Berlin
Amano Rooftop Bar,52.5282457,13.4028227,3.8,21,€€€,Berlin
The Exchange,40.037094321297786,-76.30514708456286,3.6,143,$$,Manheim
The Sandwich Factory Sports Lounge,40.0952719,-76.3054233,3.2,83,$,Manheim
Altana Rooftop lounge,40.0376823,-76.3043172,2.4,88,$$$,Manheim
Lancaster Marriott at Penn Square,40.0369099,-76.30492799999999,3.2,142,$$,Manheim
551 West,40.0371513366699,-76.3166046142578,3.7,103,$$,Manheim
Tellus360,40.037694,-76.30443,3.7,167,$$,Manheim
Plough,40.0369099,-76.30492799999999,3.6,89,,Manheim
LugInsLand,50.1175261,8.679976,3.4,96,€€€,Frankfurt
Gekko House,50.1060857,8.652832799999999,2.5,2,,Frankfurt
Long Island Summer Lounge,50.115179888015,8.67548033595085,2.9,77,€€€,Frankfurt
Flemings Selection Hotel Frankfurt-City,50.1173529,8.6801148,3.8,18,€€€,Frankfurt
